crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-27.095810	3293	0.000000
281474976710655.000000	-23.419649	3294	0.000000
281474976710655.000000	-26.122946	3295	0.000000
281474976710655.000000	-26.598520	3296	0.000000
281474976710655.000000	-26.325670	3297	0.000000
281474976710655.000000	-27.698793	3298	0.000000
281474976710655.000000	-24.851803	3299	0.000000
281474976710655.000000	-27.259914	3300	0.000000
281474976710655.000000	-28.287031	3301	0.000000
281474976710655.000000	-24.910339	3302	0.000000
281474976710655.000000	-26.921665	3303	0.000000
281474976710655.000000	-27.765930	3304	0.000000
281474976710655.000000	-26.930376	3305	0.000000
281474976710655.000000	-24.449455	3306	0.000000
281474976710655.000000	-26.807583	3307	0.000000
281474976710655.000000	-27.260565	3308	0.000000
281474976710655.000000	-25.434919	3309	0.000000
281474976710655.000000	-25.238831	3310	0.000000
281474976710655.000000	-27.774529	3311	0.000000
281474976710655.000000	-27.403536	3312	0.000000
281474976710655.000000	-25.399025	3313	0.000000
281474976710655.000000	-26.155638	3314	0.000000
281474976710655.000000	-27.343172	3315	0.000000
281474976710655.000000	-26.848509	3316	0.000000
281474976710655.000000	-26.214685	3317	0.000000
281474976710655.000000	-25.958284	3318	0.000000
281474976710655.000000	-25.206268	3319	0.000000
281474976710655.000000	-27.172287	3320	0.000000
281474976710655.000000	-28.485548	3321	0.000000
281474976710655.000000	-27.872566	3322	0.000000
281474976710655.000000	-25.261690	3323	0.000000
281474976710655.000000	-26.398214	3324	0.000000
281474976710655.000000	-26.541098	3325	0.000000
281474976710655.000000	-25.091675	3326	0.000000
281474976710655.000000	-26.582041	3327	0.000000
281474976710655.000000	-25.143887	3328	0.000000
281474976710655.000000	-25.617275	3329	0.000000
281474976710655.000000	-24.849884	3330	0.000000
281474976710655.000000	-25.221119	3331	0.000000
281474976710655.000000	-28.207344	3332	0.000000
281474976710655.000000	-25.697985	3333	0.000000
281474976710655.000000	-26.520252	3334	0.000000
281474976710655.000000	-21.460199	3335	0.000000
281474976710655.000000	-21.829699	3336	0.000000
281474976710655.000000	-25.828487	3337	0.000000
281474976710655.000000	-24.381779	3338	0.000000
281474976710655.000000	-25.620493	3339	0.000000
281474976710655.000000	-26.708290	3340	0.000000
281474976710655.000000	-23.536829	3341	0.000000
281474976710655.000000	-24.642452	3342	0.000000
281474976710655.000000	-24.779413	3343	0.000000
281474976710655.000000	-24.782019	3344	0.000000
281474976710655.000000	-26.529997	3345	0.000000
281474976710655.000000	-26.898014	3346	0.000000
281474976710655.000000	-23.049604	3347	0.000000
281474976710655.000000	-25.477678	3348	0.000000
281474976710655.000000	-23.200636	3349	0.000000
281474976710655.000000	-26.882542	3350	0.000000
281474976710655.000000	-25.439148	3351	0.000000
281474976710655.000000	-24.308998	3352	0.000000
281474976710655.000000	-24.447905	3353	0.000000
281474976710655.000000	-25.004112	3354	0.000000
281474976710655.000000	-24.408405	3355	0.000000
281474976710655.000000	-22.975559	3356	0.000000
281474976710655.000000	-27.387146	3357	0.000000
281474976710655.000000	-25.794943	3358	0.000000
281474976710655.000000	-26.792744	3359	0.000000
281474976710655.000000	-24.355099	3360	0.000000
281474976710655.000000	-24.800596	3361	0.000000
281474976710655.000000	-26.548767	3362	0.000000
281474976710655.000000	-24.926340	3363	0.000000
281474976710655.000000	-26.624264	3364	0.000000
281474976710655.000000	-24.107592	3365	0.000000
281474976710655.000000	-25.455606	3366	0.000000
281474976710655.000000	-23.532187	3367	0.000000
281474976710655.000000	-26.760593	3368	0.000000
281474976710655.000000	-23.957348	3369	0.000000
281474976710655.000000	-23.767155	3370	0.000000
281474976710655.000000	-23.931986	3371	0.000000
281474976710655.000000	-23.585703	3372	0.000000
281474976710655.000000	-25.214128	3373	0.000000
281474976710655.000000	-24.257809	3374	0.000000
281474976710655.000000	-22.789646	3375	0.000000
281474976710655.000000	-25.980824	3376	0.000000
281474976710655.000000	-23.428173	3377	0.000000
281474976710655.000000	-23.447622	3378	0.000000
281474976710655.000000	-23.602421	3379	0.000000
281474976710655.000000	-23.256004	3380	0.000000
281474976710655.000000	-24.154171	3381	0.000000
281474976710655.000000	-24.168072	3382	0.000000
281474976710655.000000	-23.154125	3383	0.000000
281474976710655.000000	-24.955929	3384	0.000000
281474976710655.000000	-23.587749	3385	0.000000
281474976710655.000000	-23.110060	3386	0.000000
281474976710655.000000	-23.547405	3387	0.000000
281474976710655.000000	-22.275534	3388	0.000000
281474976710655.000000	-24.624104	3389	0.000000
281474976710655.000000	-23.156500	3390	0.000000
281474976710655.000000	-23.344238	3391	0.000000
281474976710655.000000	-22.996511	3392	0.000000
281474976710655.000000	-23.685141	3393	0.000000
281474976710655.000000	-23.708580	3394	0.000000
281474976710655.000000	-24.831539	3395	0.000000
281474976710655.000000	-23.574623	3396	0.000000
281474976710655.000000	-24.960848	3397	0.000000
281474976710655.000000	-22.548178	3398	0.000000
281474976710655.000000	-24.674030	3399	0.000000
281474976710655.000000	-22.208044	3400	0.000000
281474976710655.000000	-22.259235	3401	0.000000
281474976710655.000000	-23.803284	3402	0.000000
281474976710655.000000	-23.209213	3403	0.000000
281474976710655.000000	-22.112103	3404	0.000000
281474976710655.000000	-24.393158	3405	0.000000
281474976710655.000000	-23.142351	3406	0.000000
281474976710655.000000	-23.454927	3407	0.000000
281474976710655.000000	-24.487799	3408	0.000000
281474976710655.000000	-21.961971	3409	0.000000
281474976710655.000000	-23.241879	3410	0.000000
281474976710655.000000	-22.347479	3411	0.000000
281474976710655.000000	-24.795349	3412	0.000000
281474976710655.000000	-22.763958	3413	0.000000
281474976710655.000000	-22.809711	3414	0.000000
281474976710655.000000	-22.930855	3415	0.000000
281474976710655.000000	-23.856730	3416	0.000000
281474976710655.000000	-22.015200	3417	0.000000
281474976710655.000000	-21.393293	3418	0.000000
281474976710655.000000	-22.092375	3419	0.000000
281474976710655.000000	-22.101421	3420	0.000000
281474976710655.000000	-24.569590	3421	0.000000
281474976710655.000000	-22.067932	3422	0.000000
